time,seconds_elapsed,z,y,x
1776193346534023700,0.106023681640625,-0.13135051727294922,-0.030756235122680664,-0.002915889024734497
1776193346550049300,0.12204931640625,-0.13486480712890625,-0.02887105941772461,-0.020619988441467285
1776193346566076700,0.13807666015625,-0.10985851287841797,-0.02059340476989746,-0.06407971680164337
1776193346582102300,0.154102294921875,-0.049950599670410156,-0.006644487380981445,-0.07201878726482391
1776193346598126300,0.170126220703125,0.09420108795166016,0.0166623592376709,-0.04996749758720398
1776193346614145000,0.18614501953125,0.1865224838256836,0.017151355743408203,-0.023918405175209045
1776193346630160400,0.202160400390625,0.19399738311767578,0.004089832305908203,0.045058101415634155
1776193346646179300,0.218179443359375,0.16050338745117188,0.013137340545654297,0.043009042739868164
1776193346662202600,0.23420263671875,0.14855194091796875,0.013170957565307617,-0.010658025741577148
1776193346678220000,0.250219970703125,0.16065597534179688,0.02223372459411621,0.007952898740768433
1776193346694235000,0.26623486328125,0.056862831115722656,0.02395176887512207,0.02771705389022827
1776193346710250500,0.28225048828125,-0.08391380310058594,0.041105031967163086,0.01648646593093872
1776193346726263600,0.298263671875,-0.1065511703491211,0.023125171661376953,-0.0018217861652374268
1776193346742283800,0.31428369140625,-0.1062307357788086,-0.023933887481689453,-0.031210556626319885
1776193346758300000,0.3302998046875,-0.07041358947753906,-0.020051240921020508,-0.03659456968307495
1776193346774323200,0.3463232421875,0.0249786376953125,0.029265880584716797,0.015125364065170288
1776193346790344200,0.36234423828125,0.05573081970214844,-0.0003762245178222656,0.018379151821136475
1776193346806361300,0.378361328125,0.06262969970703125,0.008046865463256836,0.015696555376052856
1776193346822380300,0.39438037109375,0.12815475463867188,0.03693389892578125,0.036108702421188354
1776193346838397700,0.410397705078125,0.13049602508544922,0.05402398109436035,0.02326434850692749
1776193346854414300,0.426414306640625,0.10901451110839844,0.03951120376586914,-0.009007811546325684
1776193346870438000,0.44243798828125,0.06625938415527344,0.004578113555908203,-0.016453951597213745
1776193346886462000,0.4584619140625,0.052154541015625,0.03222322463989258,-0.03098990023136139
1776193346902488600,0.474488525390625,0.10027599334716797,0.007307767868041992,-0.012121498584747314
1776193346918510000,0.490510009765625,0.05303478240966797,-0.03836560249328613,-0.010916382074356079
1776193346934532900,0.506532958984375,-0.03949546813964844,-0.03698587417602539,-0.03140544891357422
1776193346950554400,0.522554443359375,-0.051163673400878906,-0.04543924331665039,-0.019540905952453613
1776193346966579000,0.538578857421875,-0.03449821472167969,-0.040350914001464844,0.005244731903076172
1776193346982604000,0.55460400390625,-0.013161659240722656,-0.015763282775878906,-0.01903960108757019
1776193346998617000,0.5706171875,0.02969074249267578,-0.014899253845214844,-0.029635027050971985
1776193347014635500,0.586635498046875,0.041426658630371094,0.010016679763793945,-0.022257357835769653
1776193347030657300,0.6026572265625,0.060207366943359375,0.009413003921508789,-0.00011336803436279297
1776193347046674400,0.61867431640625,0.11002635955810547,0.011584758758544922,0.014720410108566284
1776193347062696000,0.634696044921875,0.1360464096069336,0.03945112228393555,-0.013159066438674927
1776193347078711300,0.650711181640625,0.13125228881835938,0.027644634246826172,0.02639177441596985
1776193347094729200,0.666729248046875,0.10756492614746094,0.005009651184082031,-0.002275228500366211
1776193347110745300,0.682745361328125,0.06500053405761719,0.014659881591796875,-0.04718269407749176
1776193347126755300,0.69875537109375,0.027383804321289062,-0.0002262592315673828,-0.07117985188961029
1776193347142773000,0.71477294921875,-0.03424644470214844,-0.019423484802246094,-0.008012652397155762
1776193347158791000,0.730791015625,-0.04580497741699219,0.0053598880767822266,0.002388179302215576
